#x(km) y(km) depth(km) Pressure(bar) Temperature(oC) Density(kg/m3) Vs_diff(km/s)
    60.000     60.000    280.000  92864.000   1529.280   3477.565      0.001
    65.000     65.000    280.000  92864.000   1498.150   3480.065      0.002
    70.000     70.000    280.000  92864.000   1505.935   3479.460      0.001
    75.000     75.000    280.000  92864.000   1505.935   3479.460      0.000
    80.000     80.000    280.000  92864.000   1521.500   3478.135      0.000
    85.000     85.000    280.000  92864.000   1521.500   3478.135      0.001
    90.000     90.000    280.000  92864.000   1521.500   3478.135      0.001
    95.000     95.000    280.000  92864.000   1521.500   3478.135      0.001
   100.000    100.000    280.000  92864.000   1521.500   3478.135      0.001
   105.000    105.000    280.000  92864.000   1521.500   3478.135      0.002
   110.000    110.000    280.000  92864.000   1513.720   3478.720      0.000
   115.000    115.000    280.000  92864.000   1513.720   3478.720      0.001
   120.000    120.000    280.000  92864.000   1513.720   3478.720      0.002
   125.000    125.000    280.000  92864.000   1513.720   3478.720      0.002
   130.000    130.000    280.000  92864.000   1498.150   3480.065      0.001
   135.000    135.000    280.000  92864.000   1498.150   3480.065      0.000
   140.000    140.000    280.000  92864.000   1521.500   3478.135      0.001
   145.000    145.000    280.000  92864.000   1505.935   3479.460      0.001
   150.000    150.000    280.000  92864.000   1498.150   3480.065      0.001
   155.000    155.000    280.000  92864.000   1498.150   3480.065      0.002
   160.000    160.000    280.000  92864.000   1490.370   3480.670      0.001
   165.000    165.000    280.000  92864.000   1490.370   3480.670      0.003
   170.000    170.000    280.000  92864.000   1467.020   3483.555      0.001
   175.000    175.000    280.000  92864.000   1467.020   3483.555      0.002
   180.000    180.000    280.000  92864.000   1459.240   3484.430      0.002
   185.000    185.000    280.000  92864.000   1443.670   3485.895      0.001
   190.000    190.000    280.000  92864.000   1443.670   3485.895      0.001
     0.000      0.000    275.000  91435.500   1716.065   3454.450      0.001
     5.000      5.000    275.000  91435.500   1716.065   3454.450      0.003
    10.000     10.000    275.000  91435.500   1692.720   3456.755      0.001
    15.000     15.000    275.000  91435.500   1692.720   3456.755      0.000
    20.000     20.000    275.000  91435.500   1700.500   3455.980      0.002
    25.000     25.000    275.000  91435.500   1692.720   3456.755      0.001
    30.000     30.000    275.000  91435.500   1677.150   3458.305      0.001
    35.000     35.000    275.000  91435.500   1653.800   3460.775      0.001
    40.000     40.000    275.000  91435.500   1646.020   3461.530      0.002
    45.000     45.000    275.000  91435.500   1630.455   3462.975      0.000
    50.000     50.000    275.000  91435.500   1607.110   3465.165      0.000
    55.000     55.000    275.000  91435.500   1575.980   3468.605      0.003
    60.000     60.000    275.000  91435.500   1552.630   3470.425      0.002
    65.000     65.000    275.000  91435.500   1521.500   3473.285      0.001
    70.000     70.000    275.000  91435.500   1529.280   3472.575      0.002
    75.000     75.000    275.000  91435.500   1529.280   3472.575      0.001
    80.000     80.000    275.000  91435.500   1544.850   3471.180      0.002
    85.000     85.000    275.000  91435.500   1544.850   3471.180      0.001
    90.000     90.000    275.000  91435.500   1544.850   3471.180      0.002
    95.000     95.000    275.000  91435.500   1544.850   3471.180      0.002
   100.000    100.000    275.000  91435.500   1544.850   3471.180      0.002
   105.000    105.000    275.000  91435.500   1537.065   3471.990      0.000
   110.000    110.000    275.000  91435.500   1537.065   3471.990      0.001
   115.000    115.000    275.000  91435.500   1537.065   3471.990      0.002
   120.000    120.000    275.000  91435.500   1529.280   3472.575      0.000
   125.000    125.000    275.000  91435.500   1529.280   3472.575      0.001
   130.000    130.000    275.000  91435.500   1521.500   3473.285      0.001
   135.000    135.000    275.000  91435.500   1521.500   3473.285      0.000
   140.000    140.000    275.000  91435.500   1537.065   3471.990      0.001
   145.000    145.000    275.000  91435.500   1529.280   3472.575      0.002
   150.000    150.000    275.000  91435.500   1521.500   3473.285      0.001
   155.000    155.000    275.000  91435.500   1513.720   3473.970      0.001
   160.000    160.000    275.000  91435.500   1513.720   3473.970      0.002
   165.000    165.000    275.000  91435.500   1505.935   3474.675      0.002
   170.000    170.000    275.000  91435.500   1490.370   3476.160      0.001
   175.000    175.000    275.000  91435.500   1482.590   3477.135      0.001
   180.000    180.000    275.000  91435.500   1474.805   3478.070      0.001
   185.000    185.000    275.000  91435.500   1467.020   3478.790      0.002
   190.000    190.000    275.000  91435.500   1459.240   3479.650      0.000
     0.000      0.000    270.000  89292.700   1739.410   3445.520      0.002
     5.000      5.000    270.000  89292.700   1731.630   3446.080      0.000
    10.000     10.000    270.000  89292.700   1716.065   3447.410      0.003
    15.000     15.000    270.000  89292.700   1716.065   3447.410      0.002
    20.000     20.000    270.000  89292.700   1716.065   3447.410      0.001
    25.000     25.000    270.000  89292.700   1716.065   3447.410      0.002
    30.000     30.000    270.000  89292.700   1700.500   3448.945      0.002
    35.000     35.000    270.000  89292.700   1669.370   3452.055      0.001
    40.000     40.000    270.000  89292.700   1661.585   3452.910      0.001
    45.000     45.000    270.000  89292.700   1653.800   3453.735      0.002
    50.000     50.000    270.000  89292.700   1630.455   3455.955      0.001
    55.000     55.000    270.000  89292.700   1583.760   3460.415      0.001
    60.000     60.000    270.000  89292.700   1568.195   3462.230      0.002
    65.000     65.000    270.000  89292.700   1529.280   3465.775      0.001
    70.000     70.000    270.000  89292.700   1537.065   3465.055      0.001
    75.000     75.000    270.000  89292.700   1544.850   3464.320      0.002
    80.000     80.000    270.000  89292.700   1552.630   3463.780      0.000
    85.000     85.000    270.000  89292.700   1560.410   3463.220      0.002
    90.000     90.000    270.000  89292.700   1552.630   3463.780      0.000
    95.000     95.000    270.000  89292.700   1560.410   3463.220      0.002
   100.000    100.000    270.000  89292.700   1552.630   3463.780      0.000
   105.000    105.000    270.000  89292.700   1552.630   3463.780      0.001
   110.000    110.000    270.000  89292.700   1552.630   3463.780      0.002
   115.000    115.000    270.000  89292.700   1544.850   3464.320      0.000
   120.000    120.000    270.000  89292.700   1544.850   3464.320      0.002
   125.000    125.000    270.000  89292.700   1544.850   3464.320      0.002
