# Long Lat depth(km) Vs(km/s)
-1 53.5 200 4.60918998718
-0.5 53.5 200 4.61979007721
0 53.5 200 4.62856006622
0.5 53.5 200 4.63261985779
1 53.5 200 4.63019990921
1.5 53.5 200 4.62587022781
2 53.5 200 4.62131977081
2.5 53.5 200 4.61490011215
3 53.5 200 4.60316991806
3.5 53.5 200 4.58865022659
4 53.5 200 4.57840013504
4.5 53.5 200 4.57208013535
5 53.5 200 4.56253004074
5.5 53.5 200 4.55121994019
6 53.5 200 4.54263019562
6.5 53.5 200 4.53621006012
7 53.5 200 4.52959012985
7.5 53.5 200 4.52400016785
8 53.5 200 4.51852989197
8.5 53.5 200 4.51145982742
9 53.5 200 4.50534009933
9.5 53.5 200 4.5014500618
10 53.5 200 4.49425983429
10.5 53.5 200 4.48352003098
11 53.5 200 4.47251987457
11.5 53.5 200 4.46644020081
12 53.5 200 4.46574020386
12.5 53.5 200 4.4627199173
13 53.5 200 4.46532011032
13.5 53.5 200 4.48367977142
14 53.5 200 4.50731992722
14.5 53.5 200 4.5252199173
15 53.5 200 4.54698991776
15.5 53.5 200 4.57613992691
16 53.5 200 4.59668016434
16.5 53.5 200 4.60070991516
17 53.5 200 4.59888982773
17.5 53.5 200 4.59654998779
18 53.5 200 4.59543991089
18.5 53.5 200 4.59493017197
19 53.5 200 4.59373998642
19.5 53.5 200 4.59316015244
20 53.5 200 4.59890985489
20.5 53.5 200 4.61041021347
21 53.5 200 4.62018013
21.5 53.5 200 4.62258005142
22 53.5 200 4.6224398613
22.5 53.5 200 4.62402009964
23 53.5 200 4.62528991699
23.5 53.5 200 4.6229801178
24 53.5 200 4.61416006088
24.5 53.5 200 4.604159832
25 53.5 200 4.59791994095
25.5 53.5 200 4.59779977798
26 53.5 200 4.60303020477
26.5 53.5 200 4.60956001282
27 53.5 200 4.61613988876
27.5 53.5 200 4.62568998337
28 53.5 200 4.63569021225
28.5 53.5 200 4.64086008072
29 53.5 200 4.64124011993
29.5 53.5 200 4.6407699585
30 53.5 200 4.64268016815
30.5 53.5 200 4.64662981033
31 53.5 200 4.64989995956
31.5 53.5 200 4.64851999283
32 53.5 200 4.64510011673
32.5 53.5 200 4.63702011108
33 53.5 200 4.62498998642
33.5 53.5 200 4.61184978485
34 53.5 200 4.60404014587
34.5 53.5 200 4.60067987442
35 53.5 200 4.59946012497
35.5 53.5 200 4.60058021545
36 53.5 200 4.60255002975
36.5 53.5 200 4.60222005844
37 53.5 200 4.59986019135
37.5 53.5 200 4.59879016876
38 53.5 200 4.60015010834
38.5 53.5 200 4.60170984268
39 53.5 200 4.60360002518
39.5 53.5 200 4.60614013672
40 53.5 200 4.61135005951
-10 53 200 4.43133020401
-9.5 53 200 4.42377996445
-9 53 200 4.42421007156
-8.5 53 200 4.43524980545
-8 53 200 4.4507598877
-7.5 53 200 4.46198987961
-7 53 200 4.46868991852
-6.5 53 200 4.47528982162
-6 53 200 4.47706985474
-5.5 53 200 4.47931003571
-5 53 200 4.49360990524
-4.5 53 200 4.51219987869
-4 53 200 4.52271986008
-3.5 53 200 4.52545976639
-3 53 200 4.52871990204
-2.5 53 200 4.53522014618
-2 53 200 4.55186986923
-1.5 53 200 4.57426023483
-1 53 200 4.59163999557
-0.5 53 200 4.60220003128
0 53 200 4.61178016663
0.5 53 200 4.62020015717
1 53 200 4.62474012375
1.5 53 200 4.62469005585
2 53 200 4.62079000473
2.5 53 200 4.61339998245
3 53 200 4.59613990784
3.5 53 200 4.57215976715
4 53 200 4.55585002899
4.5 53 200 4.54399013519
5 53 200 4.5281701088
5.5 53 200 4.51488018036
6 53 200 4.5099902153
6.5 53 200 4.50882005692
7 53 200 4.50816011429
7.5 53 200 4.50740003586
8 53 200 4.50798988342
8.5 53 200 4.50997018814
9 53 200 4.51503992081
9.5 53 200 4.52181005478
10 53 200 4.52587985992
10.5 53 200 4.52404022217
11 53 200 4.51641988754
11.5 53 200 4.506939888
12 53 200 4.49617004395
12.5 53 200 4.48333978653
13 53 200 4.47797012329
13.5 53 200 4.48365020752
14 53 200 4.48837995529
14.5 53 200 4.48965978622
15 53 200 4.50197982788
15.5 53 200 4.51977014542
16 53 200 4.53313016891
16.5 53 200 4.54255008698
17 53 200 4.55308008194
17.5 53 200 4.56394004822
18 53 200 4.57684993744
18.5 53 200 4.58900976181
19 53 200 4.59839010239
19.5 53 200 4.60516023636
20 53 200 4.61410999298
20.5 53 200 4.62361001968
21 53 200 4.62559986115
21.5 53 200 4.62090015411
22 53 200 4.618060112
22.5 53 200 4.61883020401
23 53 200 4.61993980408
23.5 53 200 4.61931991577
24 53 200 4.61642980576
24.5 53 200 4.61358976364
25 53 200 4.6125998497
25.5 53 200 4.61294984818
26 53 200 4.61274003983
26.5 53 200 4.61161994934
27 53 200 4.61379003525
27.5 53 200 4.61839008331
28 53 200 4.619120121
28.5 53 200 4.61682987213
29 53 200 4.61492013931
29.5 53 200 4.6165099144
30 53 200 4.62251996994
30.5 53 200 4.6295800209
31 53 200 4.63465023041
31.5 53 200 4.63748979568
32 53 200 4.63803005219
32.5 53 200 4.63300991058
33 53 200 4.62407016754
33.5 53 200 4.61794996262
34 53 200 4.61267995834
34.5 53 200 4.60387992859
35 53 200 4.59521007538
35.5 53 200 4.59205007553
36 53 200 4.59336996078
36.5 53 200 4.59460020065
37 53 200 4.59547996521
37.5 53 200 4.59502983093
38 53 200 4.5933098793
38.5 53 200 4.59133005142
39 53 200 4.59243011475
39.5 53 200 4.59664011002
40 53 200 4.5992898941
-10 52.5 200 4.44077014923
-9.5 52.5 200 4.43633985519
-9 52.5 200 4.43906021118
-8.5 52.5 200 4.45188999176
-8 52.5 200 4.46690988541
-7.5 52.5 200 4.47560977936
-7 52.5 200 4.478099823
-6.5 52.5 200 4.47945022583
-6 52.5 200 4.47846984863
-5.5 52.5 200 4.47958993912
-5 52.5 200 4.49535989761
-4.5 52.5 200 4.51715993881
-4 52.5 200 4.53093004227
-3.5 52.5 200 4.53388977051
-3 52.5 200 4.53444004059
-2.5 52.5 200 4.5363202095
-2 52.5 200 4.54809999466
-1.5 52.5 200 4.5684800148
-1 52.5 200 4.58551979065
-0.5 52.5 200 4.59453010559
0 52.5 200 4.60551023483
0.5 52.5 200 4.61841011047
1 52.5 200 4.62713003159
1.5 52.5 200 4.62774991989
2 52.5 200 4.62105989456
2.5 52.5 200 4.60818004608
3 52.5 200 4.58186006546
3.5 52.5 200 4.546189785
4 52.5 200 4.51983976364
4.5 52.5 200 4.50349998474
5 52.5 200 4.48867988586
5.5 52.5 200 4.47904014587
6 52.5 200 4.48212003708
6.5 52.5 200 4.49030017853
7 52.5 200 4.49393987656
7.5 52.5 200 4.48977994919
8 52.5 200 4.48620986938
8.5 52.5 200 4.48965978622
9 52.5 200 4.49783992767
9.5 52.5 200 4.50901985168
10 52.5 200 4.52064990997
10.5 52.5 200 4.52805995941
11 52.5 200 4.52578020096
